Date,Country,City,Specie,count,min,max,median,variance
19-02-2021,BRAZIL,São José dos Campos,humidity,96,33,100,80.5,3702.03
01-03-2021,BRAZIL,São José dos Campos,humidity,96,51,100,83,2484.77
06-05-2021,BRAZIL,São José dos Campos,humidity,96,28,100,64,8244.77
07-05-2021,BRAZIL,São José dos Campos,humidity,96,68,93,82,599.01
29-08-2021,BRAZIL,São José dos Campos,humidity,96,77,100,93,302.8
28-11-2021,BRAZIL,São José dos Campos,humidity,72,42,93,78,3103.03
02-02-2021,BRAZIL,São José dos Campos,humidity,96,51,100,93,3317.46
11-03-2021,BRAZIL,São José dos Campos,humidity,96,45,93,73,2251
22-05-2021,BRAZIL,São José dos Campos,humidity,96,64,96.5,87,428.8
19-08-2021,BRAZIL,São José dos Campos,humidity,96,16,93,55,6861.68
26-09-2021,BRAZIL,São José dos Campos,humidity,96,45,100,68,3609.12
29-11-2021,BRAZIL,São José dos Campos,humidity,72,31,100,61,5731.12
26-03-2021,BRAZIL,São José dos Campos,humidity,96,29,94,78,3946.09
11-04-2021,BRAZIL,São José dos Campos,humidity,96,34,93,72,4726.95
14-05-2021,BRAZIL,São José dos Campos,humidity,96,56,93,82,1513.82
04-09-2021,BRAZIL,São José dos Campos,humidity,96,22,93,82,5284.98
16-01-2021,BRAZIL,São José dos Campos,humidity,96,51,100,73,2847.93
22-01-2021,BRAZIL,São José dos Campos,humidity,96,33,93,78,3671.56
09-03-2021,BRAZIL,São José dos Campos,humidity,96,42,100,88,4719.93
10-03-2021,BRAZIL,São José dos Campos,humidity,96,42,100,77,2597.82
18-09-2021,BRAZIL,São José dos Campos,humidity,96,35,93,88,3781.88
09-04-2021,BRAZIL,São José dos Campos,humidity,96,39,100,77,4056.82
27-04-2021,BRAZIL,São José dos Campos,humidity,96,68,100,88,1029.61
23-06-2021,BRAZIL,São José dos Campos,humidity,96,67,100,87,805.46
07-07-2021,BRAZIL,São José dos Campos,humidity,96,49,100,87,2644.05
31-01-2021,BRAZIL,São José dos Campos,humidity,96,45,94,78,3548.19
06-02-2021,BRAZIL,São José dos Campos,humidity,96,50,88,82,1550.52
21-03-2021,BRAZIL,São José dos Campos,humidity,96,37,100,73,5611.16
22-03-2021,BRAZIL,São José dos Campos,humidity,96,42,100,78,3375.56
08-09-2021,BRAZIL,São José dos Campos,humidity,96,24,93,61,6634.88
29-09-2021,BRAZIL,São José dos Campos,humidity,96,48,93,68,1957.79
17-11-2021,BRAZIL,São José dos Campos,humidity,96,27,93,57,5716.98
12-04-2021,BRAZIL,São José dos Campos,humidity,96,39,88,77,2873.82
21-05-2021,BRAZIL,São José dos Campos,humidity,96,26,100,82,5077.01
02-08-2021,BRAZIL,São José dos Campos,humidity,96,40,100,82,4070.11
18-04-2021,BRAZIL,São José dos Campos,humidity,96,61,100,93,1441.64
14-08-2021,BRAZIL,São José dos Campos,humidity,96,66.1,93,81.9,641.24
02-09-2021,BRAZIL,São José dos Campos,humidity,96,27,93,72,5815.54
20-11-2021,BRAZIL,São José dos Campos,humidity,72,73,100,87,526.88
30-11-2021,BRAZIL,São José dos Campos,humidity,72,51,100,83,2060.68
01-12-2021,BRAZIL,São José dos Campos,humidity,72,57.5,100,82,1503.45
08-01-2021,BRAZIL,São José dos Campos,humidity,96,48,94,78,1857.61
11-01-2021,BRAZIL,São José dos Campos,humidity,76,55,91,83,1396.81
04-06-2021,BRAZIL,São José dos Campos,humidity,96,44,100,80,3488.16
21-09-2021,BRAZIL,São José dos Campos,humidity,96,26,93,73,2772.52
01-04-2021,BRAZIL,São José dos Campos,humidity,96,38,100,77,3286.95
27-08-2021,BRAZIL,São José dos Campos,humidity,96,77,100,82,282.09
05-04-2021,BRAZIL,São José dos Campos,humidity,96,47,93,77,2290.37
06-08-2021,BRAZIL,São José dos Campos,humidity,96,49,100,88,2566.48
31-12-2020,BRAZIL,São José dos Campos,humidity,96,54,100,73,1299.3
26-01-2021,BRAZIL,São José dos Campos,humidity,96,48,100,83,2860.61
28-01-2021,BRAZIL,São José dos Campos,humidity,96,26,93,69,4879.09
25-03-2021,BRAZIL,São José dos Campos,humidity,96,48,100,71,1447.73
06-12-2021,BRAZIL,São José dos Campos,humidity,72,53,93,77,1686.83
24-03-2021,BRAZIL,São José dos Campos,humidity,96,43,93,73,2993.44
29-04-2021,BRAZIL,São José dos Campos,humidity,96,56,93,77,1182.53
14-06-2021,BRAZIL,São José dos Campos,humidity,92,56,93,84.5,1687.21
19-09-2021,BRAZIL,São José dos Campos,humidity,96,27,93,77,4864.91
09-05-2021,BRAZIL,São José dos Campos,humidity,96,49,93,82,1612.05
01-02-2021,BRAZIL,São José dos Campos,humidity,96,45,94,85,2125.42
05-05-2021,BRAZIL,São José dos Campos,humidity,96,26,100,87,7013.32
09-06-2021,BRAZIL,São José dos Campos,humidity,96,68,100,88,695.12
30-07-2021,BRAZIL,São José dos Campos,humidity,96,47,100,75,3008.4
04-03-2021,BRAZIL,São José dos Campos,humidity,96,45,100,78,3577.33
01-10-2021,BRAZIL,São José dos Campos,humidity,72,73,93,88,323.52
02-01-2021,BRAZIL,São José dos Campos,humidity,96,57,100,77,1397.61
29-06-2021,BRAZIL,São José dos Campos,humidity,96,63,100,81,756.1
03-08-2021,BRAZIL,São José dos Campos,humidity,96,63,100,87,1435.79
27-11-2021,BRAZIL,São José dos Campos,humidity,72,35,88,77,3268.66
23-05-2021,BRAZIL,São José dos Campos,humidity,96,60,100,72,900.7
24-07-2021,BRAZIL,São José dos Campos,humidity,96,25,100,76,6819.97
31-08-2021,BRAZIL,São José dos Campos,humidity,96,46,93,82,2064.17
13-11-2021,BRAZIL,São José dos Campos,humidity,88,43,93,67,2219.77
12-08-2021,BRAZIL,São José dos Campos,humidity,96,63,93,82,764.19
31-10-2021,BRAZIL,São José dos Campos,humidity,72,82,100,88,315.62
04-11-2021,BRAZIL,São José dos Campos,humidity,72,37,93,82,2992.81
03-04-2021,BRAZIL,São José dos Campos,humidity,96,50,100,73,2687.72
07-04-2021,BRAZIL,São José dos Campos,humidity,96,61,100,82,1910.11
20-06-2021,BRAZIL,São José dos Campos,humidity,96,52,100,77,2422.3
31-07-2021,BRAZIL,São José dos Campos,humidity,96,42,93,87,3303.05
05-01-2021,BRAZIL,São José dos Campos,pm25,23,5,70,30,2934.43
15-01-2021,BRAZIL,São José dos Campos,pm25,23,5,87,34,3636.8
09-02-2021,BRAZIL,São José dos Campos,pm25,8,5,17,9,180
17-01-2021,BRAZIL,São José dos Campos,pm25,24,9,55,25,1511.01
27-01-2021,BRAZIL,São José dos Campos,pm25,24,25,55,42,781.45
28-12-2020,BRAZIL,São José dos Campos,pm25,19,5,85,25,3291.17
03-01-2021,BRAZIL,São José dos Campos,pm25,21,5,46,13,1616.48
06-01-2021,BRAZIL,São José dos Campos,pm25,24,5,53,38,1802.54
07-01-2021,BRAZIL,São José dos Campos,pm25,23,5,65,21,3012.92
10-01-2021,BRAZIL,São José dos Campos,pm25,24,5,97,25,4444.57
13-01-2021,BRAZIL,São José dos Campos,pm25,22,5,85,21,4149.03
29-12-2020,BRAZIL,São José dos Campos,pm25,23,5,59,17,3189.05
09-01-2021,BRAZIL,São José dos Campos,pm25,24,5,72,25,3471.52
23-01-2021,BRAZIL,São José dos Campos,pm25,23,13,70,42,2405.3
01-01-2021,BRAZIL,São José dos Campos,pm25,24,9,95,38,7336.94
11-01-2021,BRAZIL,São José dos Campos,pm25,24,5,63,25,2662.54
26-01-2021,BRAZIL,São José dos Campos,pm25,24,9,57,34,2481.45
29-01-2021,BRAZIL,São José dos Campos,pm25,24,9,68,53,2634.78
01-02-2021,BRAZIL,São José dos Campos,pm25,19,5,82,25,2931.35
11-02-2021,BRAZIL,São José dos Campos,pm25,9,17,38,25,795
04-01-2021,BRAZIL,São José dos Campos,pm25,23,5,57,21,2432.25
16-01-2021,BRAZIL,São José dos Campos,pm25,22,13,70,25,2742.27
19-01-2021,BRAZIL,São José dos Campos,pm25,24,5,61,30,2619.55
20-01-2021,BRAZIL,São José dos Campos,pm25,24,9,61,34,2564.33
22-01-2021,BRAZIL,São José dos Campos,pm25,18,9,70,42,2971.14
25-01-2021,BRAZIL,São José dos Campos,pm25,24,17,59,38,1763.03
02-01-2021,BRAZIL,São José dos Campos,pm25,21,5,46,17,1036.9
02-02-2021,BRAZIL,São José dos Campos,pm25,8,25,212,99,56511.4
08-02-2021,BRAZIL,São José dos Campos,pm25,10,5,30,17,678.33
08-01-2021,BRAZIL,São José dos Campos,pm25,24,5,59,30,2647.75
12-01-2021,BRAZIL,São José dos Campos,pm25,23,5,65,25,3543.91
18-01-2021,BRAZIL,São José dos Campos,pm25,24,5,53,17,1769.28
28-01-2021,BRAZIL,São José dos Campos,pm25,24,17,68,38,2086.5
31-01-2021,BRAZIL,São José dos Campos,pm25,22,5,74,50,1672.29
30-12-2020,BRAZIL,São José dos Campos,pm25,24,9,55,21,1464.06
31-12-2020,BRAZIL,São José dos Campos,pm25,24,5,74,34,1948.91
14-01-2021,BRAZIL,São José dos Campos,pm25,22,9,59,25,2332.9
21-01-2021,BRAZIL,São José dos Campos,pm25,24,17,68,34,1996.52
24-01-2021,BRAZIL,São José dos Campos,pm25,24,17,65,38,1721.29
